date,open,high,low,close,volume,Dividends,Stock Splits
2015/3/17,4355.830078,4384.97998,4349.689941,4375.629883,1724370000,0,0
2015/3/18,4366.799805,4440.490234,4344.490234,4422.5,1983570000,0,0
2015/3/19,4424.790039,4440.009766,4419.839844,4426.819824,1674970000,0,0
2015/3/20,4468.290039,4478.680176,4456.410156,4458.540039,2825670000,0,0
2015/3/23,4454.149902,4466.339844,4445.52002,4445.540039,1608880000,0,0
2015/3/24,4444.390137,4467.790039,4430.970215,4430.990234,1611670000,0,0
2015/3/25,4437.379883,4442.540039,4329.290039,4329.290039,2219520000,0,0
2015/3/26,4288.160156,4340.160156,4280.950195,4315.259766,2004960000,0,0
2015/3/27,4314.600098,4342.930176,4309.52002,4332.859863,1678650000,0,0
2015/3/30,4359.779785,4384.180176,4359.779785,4382.819824,1778520000,0,0
2015/3/31,4364.140137,4377.359863,4333.689941,4333.689941,1837660000,0,0
2015/4/1,4328.169922,4334.560059,4284.060059,4311.259766,1874960000,0,0
2015/4/2,4316.240234,4327.790039,4302.490234,4316.009766,1563670000,0,0
2015/4/6,4286.160156,4361.560059,4283.910156,4350.97998,1737560000,0,0
2015/4/7,4349.299805,4379.410156,4343.740234,4344.080078,1572940000,0,0
2015/4/8,4345.22998,4382.819824,4345.089844,4375.959961,1714210000,0,0
2015/4/9,4375.779785,4405.649902,4361.22998,4403.950195,1729750000,0,0
2015/4/10,4402.02002,4422.629883,4394.379883,4422.02002,244120000,0,0
2015/4/13,4428.129883,4448.200195,4407.069824,4409.209961,1544190000,0,0
2015/4/14,4409.290039,4418.870117,4375.109863,4397.640137,1571360000,0,0
2015/4/15,4409.740234,4435.279785,4406.040039,4424.529785,1795530000,0,0
2015/4/16,4412.149902,4427.220215,4408.959961,4418.830078,1662850000,0,0
2015/4/17,4379.629883,4390.310059,4333.109863,4351.799805,1985190000,0,0
2015/4/20,4373.649902,4423.879883,4373.089844,4417.399902,1646340000,0,0
2015/4/21,4444.5,4448.680176,4430.97998,4435.97998,1721260000,0,0
2015/4/22,4448.580078,4466.839844,4419.350098,4460.810059,1696380000,0,0
2015/4/23,4445.169922,4496.080078,4444.290039,4477.069824,1858620000,0,0
2015/4/24,4529.72998,4543.640137,4517.879883,4536.779785,1895150000,0,0
2015/4/27,4548.509766,4562.330078,4516.330078,4525.040039,2172470000,0,0
2015/4/28,4529.410156,4537.149902,4479.009766,4515.27002,2032500000,0,0
2015/4/29,4490.569824,4517.009766,4463.97998,4488.149902,1871300000,0,0
2015/4/30,4459.22998,4480.359863,4395.100098,4414.25,2269290000,0,0
2015/5/1,4437.700195,4479.060059,4435.240234,4479.060059,1854400000,0,0
2015/5/4,4491.189941,4510.470215,4480.850098,4482.609863,1668200000,0,0
2015/5/5,4464.209961,4472.22998,4407.27002,4409.390137,2069490000,0,0
2015/5/6,4420.299805,4429.959961,4349.930176,4379.75,2144620000,0,0
2015/5/7,4377.810059,4413.72998,4373.290039,4401.549805,2042960000,0,0
2015/5/8,4445,4466.169922,4441.72998,4458.649902,1978760000,0,0
2015/5/11,4457.620117,4468.75,4437.529785,4438.640137,1731390000,0,0
2015/5/12,4412.819824,4441.399902,4380.52002,4420.649902,1705870000,0,0
2015/5/13,4436.080078,4460.540039,4421.75,4426.560059,1672260000,0,0
2015/5/14,4461.069824,4496.25,4448.379883,4495.040039,1741970000,0,0
2015/5/15,4505.390137,4509.129883,4482.549805,4494.290039,1667260000,0,0
2015/5/18,4487.140137,4521.009766,4483.759766,4512.950195,1643870000,0,0
2015/5/19,4514.669922,4521.850098,4498.529785,4503.720215,1750980000,0,0
2015/5/20,4505.589844,4533.919922,4484.52002,4505.299805,1786830000,0,0
2015/5/21,4499.419922,4537.279785,4495.390137,4529.470215,1683670000,0,0
2015/5/22,4522.859863,4542.459961,4522.609863,4527.160156,1544920000,0,0
2015/5/26,4516.629883,4521.850098,4456.759766,4472.959961,1731950000,0,0
2015/5/27,4488.049805,4551.529785,4479.740234,4546.060059,1809550000,0,0
2015/5/28,4537.47998,4548.240234,4523.549805,4535.660156,1741420000,0,0
2015/5/29,4532.149902,4539.569824,4499.649902,4508.25,2024170000,0,0
2015/6/1,4530.029785,4535.430176,4488.169922,4521.850098,1902120000,0,0
2015/6/2,4503.759766,4531.080078,4486.189941,4508.890137,1729750000,0,0
2015/6/3,4531.040039,4539.350098,4512.439941,4519.859863,1852680000,0,0
2015/6/4,4501.72998,4526.209961,4475.049805,4487.029785,1813960000,0,0
2015/6/5,4483.430176,4493.430176,4452.319824,4477.189941,1842890000,0,0
2015/6/8,4476.689941,4477.830078,4423.799805,4431.509766,1712210000,0,0
2015/6/9,4421.02002,4441.620117,4392.450195,4427.609863,1754340000,0,0
2015/6/10,4440.540039,4497.509766,4435.290039,4485.459961,1792980000,0,0
2015/6/11,4498.490234,4511.319824,4483.839844,4488.470215,1623950000,0,0
2015/6/12,4467.379883,4476.209961,4449.209961,4453.790039,1428900000,0,0
2015/6/15,4416.140137,4437.970215,4396.129883,4432.919922,1790280000,0,0
2015/6/16,4428.299805,4463.200195,4426.189941,4455.899902,1654820000,0,0
2015/6/17,4465.169922,4482.27002,4441.339844,4468.97998,1712820000,0,0
2015/6/18,4483.609863,4540.689941,4483.609863,4531.850098,1877920000,0,0
2015/6/19,4538.709961,4539.490234,4511.209961,4513.419922,2468310000,0,0
2015/6/22,4541.850098,4557.97998,4534.759766,4544.040039,1619970000,0,0
2015/6/23,4549.52002,4551.77002,4529.990234,4548.740234,1613540000,0,0
2015/6/24,4542.069824,4561.640137,4523.899902,4524.600098,1628800000,0,0
2015/6/25,4540.399902,4546.149902,4508.660156,4514.009766,1614760000,0,0
2015/6/26,4514.370117,4523.970215,4469.22998,4484.279785,3843810000,0,0
2015/6/29,4433.109863,4460.080078,4377.22998,4379.870117,2025580000,0,0
2015/6/30,4414.859863,4420.5,4381.939941,4396.759766,2034430000,0,0
2015/7/1,4433.790039,4445.899902,4409.419922,4429.22998,1814560000,0,0
2015/7/2,4440.169922,4445.830078,4417.47998,4433.390137,1490810000,0,0
2015/7/6,4394.439941,4444.410156,4394.439941,4418.660156,1741500000,0,0
2015/7/7,4422.75,4434.910156,4344.149902,4429.060059,2132080000,0,0
2015/7/8,4392.509766,4403.129883,4346.419922,4351.580078,1931520000,0,0
2015/7/9,4410.27002,4414.430176,4351.509766,4352.029785,1861600000,0,0
2015/7/10,4405.990234,4434.109863,4394.009766,4420.149902,1590230000,0,0
2015/7/13,4457.759766,4498.740234,4456.540039,4494.470215,1694140000,0,0
2015/7/14,4503.200195,4537.209961,4500.660156,4523.470215,1682660000,0,0
